segment_num,segment_label,subsegment_code,subsegment_label,option,pain,root_cause,cta,full_value_prop
2,"Something's wrong with my partner","2c","Partner is DA — emotionally unavailable / walls up / goes cold",1,"You can feel them there — but there's always a wall. And you've started to wonder if you're asking for too much.","You're not. DA partners built those walls long before they met you. The question isn't whether your needs are reasonable — they are. The question is whether the wall can come down, and what that actually requires.","Take the quiz and find out how to communicate without triggering more distance — and whether the wall can actually move","You can feel them there — but there's always a wall. And you've started to wonder if you're asking for too much. → You're not. DA partners built those walls long before they met you. The question isn't whether your needs are reasonable — they are. The question is whether the wall can come down, and what that actually requires. → Take the quiz and find out how to communicate without triggering more distance — and whether the wall can actually move"
2,"Something's wrong with my partner","2c","Partner is DA — emotionally unavailable / walls up / goes cold",2,"They function perfectly in every other area of life. It's only when you need them emotionally that they disappear.","High-functioning avoidance is the hardest to name because everything else looks fine. But selective emotional absence is still emotional absence — and it has a specific mechanism that either can or cannot change.","Find out which communication approach actually reaches a DA partner — and which of your current strategies are making the wall thicker","They function perfectly in every other area of life. It's only when you need them emotionally that they disappear. → High-functioning avoidance is the hardest to name because everything else looks fine. But selective emotional absence is still emotional absence — and it has a specific mechanism that either can or cannot change. → Find out which communication approach actually reaches a DA partner — and which of your current strategies are making the wall thicker"
3,"Something broke and I need to understand it","3a","Blindsided by an avoidant — relationship seemed fine then ended suddenly",1,"Everything felt real — and then they turned off completely. No warning. No fight. Just gone.","Avoidant partners don't communicate growing distance — they quietly accumulate it until they tip into deactivation. It didn't come from nowhere. You just couldn't see it from where you were standing. That's not your failure — it's how the pattern works.","Take the quiz and get a clear map of what actually happened — and what to look for differently next time","Everything felt real — and then they turned off completely. No warning. No fight. Just gone. → Avoidant partners don't communicate growing distance — they quietly accumulate it until they tip into deactivation. It didn't come from nowhere. You just couldn't see it from where you were standing. That's not your failure — it's how the pattern works. → Take the quiz and get a clear map of what actually happened — and what to look for differently next time"
3,"Something broke and I need to understand it","3a","Blindsided by an avoidant — relationship seemed fine then ended suddenly",2,"You can't stop asking why. And none of the answers feel complete.","The brain needs a coherent story it can file away. With an avoidant exit, that story is almost always missing — because they didn't have it to give you. Building it yourself, from the right framework, is the only way out of the loop.","Find out your specific blindspot in this dynamic — and get the closure your brain is still looking for","You can't stop asking why. And none of the answers feel complete. → The brain needs a coherent story it can file away. With an avoidant exit, that story is almost always missing — because they didn't have it to give you. Building it yourself, from the right framework, is the only way out of the loop. → Find out your specific blindspot in this dynamic — and get the closure your brain is still looking for"
3,"Something broke and I need to understand it","3b","Stuck in on/off cycles — ex keeps coming back and leaving",1,"They keep coming back. And every time they do, it feels like proof — like this time will be different.","It won't be. Not because the love isn't real — but because the pattern is structural. Intermittent reinforcement creates the strongest psychological bonds possible. You're not weak for staying. You're neurologically hooked. And that can be undone.","Take the quiz and map exactly which part of the cycle you're in — and what breaks it permanently","They keep coming back. And every time they do, it feels like proof — like this time will be different. → It won't be. Not because the love isn't real — but because the pattern is structural. Intermittent reinforcement creates the strongest psychological bonds possible. You're not weak for staying. You're neurologically hooked. And that can be undone. → Take the quiz and map exactly which part of the cycle you're in — and what breaks it permanently"
3,"Something broke and I need to understand it","3b","Stuck in on/off cycles — ex keeps coming back and leaving",2,"You've ended it before. You went back. Now you don't trust your own resolve anymore.","Self-efficacy collapses when the same decision fails repeatedly. But you went back for a specific psychological reason — not because you're weak. Understand the mechanism and the decision becomes something you can actually control.","Find out what's keeping you in the cycle — and get the exact steps to exit it for real this time","You've ended it before. You went back. Now you don't trust your own resolve anymore. → Self-efficacy collapses when the same decision fails repeatedly. But you went back for a specific psychological reason — not because you're weak. Understand the mechanism and the decision becomes something you can actually control. → Find out what's keeping you in the cycle — and get the exact steps to exit it for real this time"
3,"Something broke and I need to understand it","3c","I pushed them away — self-aware that their own behavior ended it",1,"You could see yourself doing it. You knew what was happening. And you still couldn't stop it.","Insight without mechanism doesn't produce change. Knowing your pattern is the first step — but until you understand the specific trigger → response → outcome sequence in your case, awareness alone just makes the pain more detailed.","Take the quiz and find out what specifically runs your shutdown — and what interrupts it before the damage is done","You could see yourself doing it. You knew what was happening. And you still couldn't stop it. → Insight without mechanism doesn't produce change. Knowing your pattern is the first step — but until you understand the specific trigger → response → outcome sequence in your case, awareness alone just makes the pain more detailed. → Take the quiz and find out what specifically runs your shutdown — and what interrupts it before the damage is done"
3,"Something broke and I need to understand it","3c","I pushed them away — self-aware that their own behavior ended it",2,"You want to reach out and fix it. But you're not sure if you actually want them back — or just want to feel less guilty.","Guilt and genuine repair drive completely different actions. And acting from guilt almost always confirms what they feared about you. Knowing which one is running before you reach out is the whole game.","Find out your avoidant pattern type — and whether reaching out would repair the damage or deepen it","You want to reach out and fix it. But you're not sure if you actually want them back — or just want to feel less guilty. → Guilt and genuine repair drive completely different actions. And acting from guilt almost always confirms what they feared about you. Knowing which one is running before you reach out is the whole game. → Find out your avoidant pattern type — and whether reaching out would repair the damage or deepen it"
4,"I want to build something that actually works","4a","Healing my attachment style — working toward earned security",1,"You've done the therapy. You've read everything. You understand your patterns perfectly — and they still show up the moment a relationship gets real.","Healing in calm, safe environments doesn't automatically transfer to a triggered nervous system. Insight lives in the prefrontal cortex. Your pattern lives somewhere else entirely. The work has to reach where the pattern actually runs.","Take the quiz and find out the exact gap between your current insight and behavioral change — and the specific practice that closes it","You've done the therapy. You've read everything. You understand your patterns perfectly — and they still show up the moment a relationship gets real. → Healing in calm, safe environments doesn't automatically transfer to a triggered nervous system. Insight lives in the prefrontal cortex. Your pattern lives somewhere else entirely. The work has to reach where the pattern actually runs. → Take the quiz and find out the exact gap between your current insight and behavioral change — and the specific practice that closes it"
4,"I want to build something that actually works","4a","Healing my attachment style — working toward earned security",2,"You're afraid that healing means losing the intensity — that secure love will feel like settling for something quiet and flat.","That fear is the attachment pattern speaking. Secure love doesn't feel boring — it feels unfamiliar. Those are different things. And your nervous system can learn to read safety as exciting instead of as absence of feeling.","Find out what earned security actually feels like from the inside — and what the path to it looks like for your specific pattern","You're afraid that healing means losing the intensity — that secure love will feel like settling for something quiet and flat. → That fear is the attachment pattern speaking. Secure love doesn't feel boring — it feels unfamiliar. Those are different things. And your nervous system can learn to read safety as exciting instead of as absence of feeling. → Find out what earned security actually feels like from the inside — and what the path to it looks like for your specific pattern"
4,"I want to build something that actually works","4b","Breaking the pattern — stop attracting and choosing the wrong people",1,"You can describe your pattern perfectly. You know exactly what you do. And then you meet someone new — and it starts again.","Attraction doesn't run through the analytical brain — it runs through the nervous system. And your nervous system was trained to read emotional unavailability as chemistry. The work isn't intellectual — it happens at a different level.","Take the quiz and find out what your nervous system is actually responding to — and how to rewire the attraction filter","You can describe your pattern perfectly. You know exactly what you do. And then you meet someone new — and it starts again. → Attraction doesn't run through the analytical brain — it runs through the nervous system. And your nervous system was trained to read emotional unavailability as chemistry. The work isn't intellectual — it happens at a different level. → Take the quiz and find out what your nervous system is actually responding to — and how to rewire the attraction filter"
4,"I want to build something that actually works","4b","Breaking the pattern — stop attracting and choosing the wrong people",2,"Secure people feel safe — but also flat. You know they're better for you. You still can't feel it.","Familiarity masquerades as chemistry. When your attachment history involved unavailability, your brain filed that feeling as what love is supposed to feel like. What you're missing isn't passion — it's the ability to feel safety as aliveness instead of absence.","Find out your pattern type — and the specific recalibration that makes secure feel like home instead of settling","Secure people feel safe — but also flat. You know they're better for you. You still can't feel it. → Familiarity masquerades as chemistry. When your attachment history involved unavailability, your brain filed that feeling as what love is supposed to feel like. What you're missing isn't passion — it's the ability to feel safety as aliveness instead of absence. → Find out your pattern type — and the specific recalibration that makes secure feel like home instead of settling"
4,"I want to build something that actually works","4c","Building a secure relationship — in a relationship now and wants to make it genuinely healthy",1,"You're both good people. You keep having the same fight — and neither of you knows why it escalates the way it does.","Conflict doesn't escalate because of the content — it escalates because of attachment activation. Once you can see which styles are getting triggered and in what sequence, the same conversation has a completely different outcome.","Take the quiz and map how your two attachment styles interact in conflict — and what breaks the cycle for your specific dynamic","You're both good people. You keep having the same fight — and neither of you knows why it escalates the way it does. → Conflict doesn't escalate because of the content — it escalates because of attachment activation. Once you can see which styles are getting triggered and in what sequence, the same conversation has a completely different outcome. → Take the quiz and map how your two attachment styles interact in conflict — and what breaks the cycle for your specific dynamic"
4,"I want to build something that actually works","4c","Building a secure relationship — in a relationship now and wants to make it genuinely healthy",2,"Things are good. Not perfect — but good. And you want to make sure 'good' doesn't slowly drift into 'gone.'","Secure relationships aren't maintained in crisis — they're built in the ordinary moments. Most couples don't have a practice for that. And without one, drift is nearly inevitable — not because of big failures, but because of small consistent absences.","Find out what daily secure relationship practice actually looks like — and which of your current patterns are silently eroding what you've built","Things are good. Not perfect — but good. And you want to make sure 'good' doesn't slowly drift into 'gone.' → Secure relationships aren't maintained in crisis — they're built in the ordinary moments. Most couples don't have a practice for that. And without one, drift is nearly inevitable — not because of big failures, but because of small consistent absences. → Find out what daily secure relationship practice actually looks like — and which of your current patterns are silently eroding what you've built"
